Part,Value,Designator(s),Count
RAC03-05SK,RAC03-05SK,PS1,1
ADW1205HLW,ADW1205HLW,"K1 ""K2""",2
DMN67D7L,DMN67D7L,"Q1 ""Q2""",2
BAV5004WS-7,BAV5004WS-7,"D1 ""D2"" ""D3""",3
M20-9982046,Conn_02x20_Odd_Even,J4,1
RX8900UA,RX8900UA,U1,1
CRGP0603F2K2,2k2,"R3 ""R4"" ""R13"" ""R5""",4
282856-2,282856-2,"J3 ""J2"" ""J1""",3
GMC31X5R107M10NT,100u,"C1 ""C2"" ""C3""",3
B4B-PH-SM4-TBT(LF)(SN),B4B-PH-SM4-TBT(LF)(SN),J6,1
ERJ-PA3J103V,10k,"R1 ""R2""",2
SML-D12U1WT86,LED,D4,1
CRGCQ0603F330R,330,R14,1
50M025045G008,2.75mm,"H1"" ""H3"" ""H5"" ""H6"" ""H4"" ""H2""",6
TL3305AF160QG,TL3305AF160QG,SW1,1
LMK107BJ106MALTD,10u,C4,1
